Id,Tag
17047,Teste Automatizado
17048,Teste Automatizado
17049,Teste Automatizado
17050,Teste Automatizado
17051,Teste Automatizado
17052,Teste Automatizado
17053,Teste Automatizado
17054,Teste Automatizado
17182,Entra em vigor em 01/07/2026
17324,Débito Técnico
17371,B.I
17387,B.I
17410,Nota Técnica
17428,Legado
17429,Legado
17508,!BUG
17764,!Reproduce
17764,Legado
17768,!BUG
17804,I.A
17805,I.A
17811,I.A
17812,I.A
17813,I.A
17815,I.A
17920,Integracao Organiza
17952,Débito Técnico
17952,Melhoria
18035,Legado
18177,!BUG
18256,!BUG
18257,!Reproduce
18257,Legado
18258,Legado
18260,!BUG
18278,Legado
18342,Legado
18448,GeradoPorUS
18500,!BUG
18500,!Reproduce
18500,Cacique
18524,Nota Técnica
18539,GeradoPorUS
18539,Impeditivo release
18539,Teste Automatizado
18603,Reforma Tributária
18642,Legado
18676,Legado
18686,Predecessor Card Vendas
18720,Script
18723,Script
18856,!BUG
19034,Atendimento Suporte
19061,Cacique
19063,GeradoPorUS
19150,Atendimento Suporte
19205,!BUG
19205,Impeditivo release
19209,!BUG
19209,Cacique
19213,!BUG
19213,Ciapetro
19214,GeradoPorUS
19215,!BUG
19229,Reforma Tributária
19230,Reforma Tributária
19231,Reforma Tributária
19232,Reforma Tributária
19233,Reforma Tributária
19234,Reforma Tributária
19235,Reforma Tributária
19236,Reforma Tributária
19247,!BUG
19370,Cacique
19374,Legado
19566,Replicação Oficial
19630,Melhoria Suporte
19631,!BUG
19631,!Reproduce
19631,Débito Técnico
19632,GeradoPorUS
19634,Cacique
19758,Nota Técnica
19758,NT 2026.002
19759,Nota Técnica
19759,NT 2026.002
19760,Nota Técnica
19760,NT 2026.002
19761,Nota Técnica
19761,NT 2026.002
19764,Nota Técnica
19764,NT 2026.002
19765,Nota Técnica
19765,NT 2026.002
19766,Nota Técnica
19766,NT 2026.002
19767,Nota Técnica
19767,NT 2026.002
19769,Nota Técnica
19769,NT 2026.002
19770,Nota Técnica
19770,NT 2026.002
19884,Alfanumerico
19886,Alfanumerico
19887,Alfanumerico
19947,Integracao Organiza
19948,Integracao Organiza
19949,Integracao Organiza
19950,Integracao Organiza
19951,Integracao Organiza
19952,Integracao Organiza
19983,Reforma Tributária
19984,Reforma Tributária
19985,Reforma Tributária
20056,Nota Técnica
20056,NT 2026.002
20064,Nota Técnica
20064,NT 2026.002
20111,B.I
20211,Entrada
20211,Legado
20298,Legado
20429,Compliance
20429,Melhoria
20429,Performance
20539,Reforma Tributária
20540,Reforma Tributária
20609,Cacique
20611,Cacique
20621,Sucessor
20645,Legado
20681,Atualizador automático
20712,Cacique
20712,Importação
20712,NFe
20713,Cacique
20713,Importação
20713,NFe
20713,SO660407
20743,Melhoria de Produto
20756,!BUG
20831,!BUG
20848,GeradoPorUS
20924,Melhoria
21012,Legado
21080,Entrada de Mercadorias
21080,ICMS ST
21080,Melhoria
21132,Legado
21133,Outra Squad
21135,GeradoPorUS
21152,Débito Técnico
21152,Teste Unitário
21162,CIOT
21171,CIOT
21180,CIOT
21189,CIOT
21198,CIOT
21207,CIOT
21216,CIOT
21225,CIOT
21234,CIOT
21243,CIOT
21305,CIOT
21314,CIOT
21325,Reforma Tributária
21414,GeradoPorUS
21431,Observabilidade
21494,Legado
21504,Cacique
21575,GeradoPorUS
21654,Melhoria de Produto
21774,I.A
21849,Cacique
21849,Legado
21852,GeradoPorUS
21869,Outra Squad
21962,Obrigação Fiscal
22054,Legado
22055,GeradoPorUS
22331,Interno
22354,GeradoPorUS
22354,Impeditivo release
22354,Interno
22354,Observabilidade
22354,PDV
22375,GeradoPorUS
22375,Impeditivo release
22377,!BUG
22407,!BUG
22509,!BUG
22515,GeradoPorUS
22618,!BUG
22714,!BUG
22738,AtualizacaoBD
22738,BRMania
22738,Global
22738,Impeditivo release
22789,DANFE Simplificado
22789,Nota Técnica
22789,NT 2026.002
22789,NT 2026.003
22789,Obrigação Fiscal
22789,Schema 010e
22825,Atualizador automático
22825,Deploy
22936,Estoque
22960,Atendimento N3
22968,Ajuste Sinief 49/25
22968,Entra em vigor em 03/08/2026
22968,Reforma Tributária
22972,Entra em vigor em 05/10/2026
22972,Reforma Tributária
22974,Entra em vigor em 01/10/2026
22974,Obrigação Fiscal
22976,Entra em vigor em 05/10/2026
22976,Obrigação Fiscal
22977,Dependência normativa
22977,Obrigação Fiscal
